Time_Step,Simulated_MSD,Theoretical_MSD
856,1739.2496811077026,1712.0
857,1742.1762809839624,1714.0
858,1738.4071446708217,1716.0
859,1736.8814903847406,1718.0
860,1740.8457230598228,1720.0
861,1746.147908534654,1722.0
862,1744.7815421664923,1724.0
863,1755.2843816231975,1726.0
864,1757.4974255003997,1728.0
865,1760.257326121396,1730.0
866,1764.0431526976313,1732.0
867,1774.4356271129727,1734.0
868,1781.3462696150616,1736.0
869,1785.3304758354536,1738.0
870,1788.8621859484185,1740.0
871,1791.5839200188343,1742.0
872,1788.7610983937798,1744.0
873,1789.090866395026,1746.0
874,1789.283116860595,1748.0
875,1791.2688864633726,1750.0
876,1797.1046813378944,1752.0
877,1792.6547029787782,1754.0
878,1795.857349554048,1756.0
879,1790.8580753088138,1758.0
880,1797.212801031797,1760.0
881,1797.2398131884004,1762.0
882,1802.9843935358679,1764.0
883,1796.6664303275109,1766.0
884,1800.62120444066,1768.0
885,1804.8398859145486,1770.0
886,1803.7892623949106,1772.0
887,1810.0441471015042,1774.0
888,1820.3227970416601,1776.0
889,1827.1807091229798,1778.0
890,1834.712136654871,1780.0
891,1838.8422525571245,1782.0
892,1839.25850799631,1784.0
893,1847.0661095627117,1786.0
894,1851.7407946368332,1788.0
895,1856.913234978951,1790.0
896,1861.449470698483,1792.0
897,1859.0351139414033,1794.0
898,1862.3642113786993,1796.0
899,1865.108111940147,1798.0
900,1865.2788348214433,1800.0
901,1858.2524832605648,1802.0
902,1862.662575035154,1804.0
903,1865.8365769134155,1806.0
904,1873.2336721376319,1808.0
905,1875.6839827254357,1810.0
906,1887.003268696854,1812.0
907,1884.723916523315,1814.0
908,1885.7746739481634,1816.0
909,1884.2514926742572,1818.0
910,1888.4411893606123,1820.0
911,1889.6524086670645,1822.0
912,1891.525034097561,1824.0
913,1893.3997017445602,1826.0
914,1888.7248418136674,1828.0
915,1885.7241686505686,1830.0
916,1891.98057063759,1832.0
917,1892.5874213646753,1834.0
918,1891.863345158718,1836.0
919,1891.72470221885,1838.0
920,1891.3062295358843,1840.0
921,1895.2118567456855,1842.0
922,1903.2702572293335,1844.0
923,1903.5158385629627,1846.0
924,1904.494244337215,1848.0
925,1907.1712474842973,1850.0
926,1904.8946563604015,1852.0
927,1910.496757853566,1854.0
928,1915.8795077632328,1856.0
929,1918.5355387934028,1858.0
930,1917.686608218384,1860.0
931,1914.7604015600405,1862.0
932,1913.2437985204529,1864.0
933,1914.706852688978,1866.0
934,1917.1200967051436,1868.0
935,1919.5879307718676,1870.0
